url,id_inmueble,texto,precio_texto,area_m2,habitaciones,banos,parqueaderos,sector,ciudad,tipo_inmueble,operacion,fecha_extraccion
https://www.metrocuadrado.com/inmueble/arriendo-apartaestudio-barranquilla-el-poblado-1-habitaciones-1-banos-1-garajes/9851-M6839735,9851-M6839735,"Destacado El Poblado | Barranquilla $1.769.280 Apartaestudio en Arriendo, El Poblado, Barranquilla",$1.769.280,39,1,1,1,El Poblado,Barranquilla,apartaestudio,arriendo,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/arriendo-apartaestudio-medellin-simesa-1-habitaciones-1-banos/22335-M6523328,22335-M6523328,"Destacado CIUDAD DEL RIO | Suroriente | Medellín $2.450.777 Apartaestudio en Arriendo, CIUDAD DEL RIO, Medellín",$2.450.777,32,1,1,,CIUDAD DEL RIO,Medellín,apartaestudio,arriendo,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/arriendo-apartaestudio-bogota-los-monjes-1-habitaciones-1-banos/21003-M6817169,21003-M6817169,"Destacado Los Monjes | Bogotá D.C. $1.600.000 Apartaestudio en Arriendo, Los Monjes, Bogotá D.C.",$1.600.000,29,1,1,,Los Monjes,Bogotá D.C.,apartaestudio,arriendo,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/arriendo-apartaestudio-bogota-cr.-vernazza-1-habitaciones-1-banos/MC6913630,MC6913630,"Modelia | Occidental | Bogotá D.C. $1.700.000 Apartaestudio en Arriendo, Modelia, Bogotá D.C.",$1.700.000,37,1,1,,Modelia,Bogotá D.C.,apartaestudio,arriendo,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/arriendo-apartaestudio-bogota-la-soledad-1-habitaciones-1-banos/23443-M7034689,23443-M7034689,"Destacado PARKWAY | Chapinero | Bogotá D.C. Bajó de precio $2.100.000 Apartaestudio en Arriendo, PARKWAY, Bogotá D.C.",$2.100.000,35,1,1,,PARKWAY,Bogotá D.C.,apartaestudio,arriendo,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/arriendo-apartaestudio-bogota-las-acasias-1-habitaciones-1-banos-1-garajes/21601-M6939842,21601-M6939842,"Destacado ACACIAS DE BELMIRA | Norte | Bogotá D.C. $2.050.000 Apartaestudio en Arriendo, ACACIAS DE BELMIRA, Bogotá D.C.",$2.050.000,36,1,1,1,ACACIAS DE BELMIRA,Bogotá D.C.,apartaestudio,arriendo,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/arriendo-apartaestudio-bogota-chapinero-central-1-habitaciones-1-banos/21601-M6844386,21601-M6844386,"Destacado CHAPINERO CENTRAL | Chapinero | Bogotá D.C. $1.560.000 Apartaestudio en Arriendo, CHAPINERO CENTRAL, Bogotá D.C.",$1.560.000,24,1,1,,CHAPINERO CENTRAL,Bogotá D.C.,apartaestudio,arriendo,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/arriendo-apartaestudio-manizales-terrazas-de-campo-hermoso-1-habitaciones-1-banos-1-garajes/23765-M7022981,23765-M7022981,"TERRAZAS DE CAMPOHERMOSO | Norte | Manizales $1.050.000 Apartaestudio en Arriendo, TERRAZAS DE CAMPOHERMOSO, Manizales",$1.050.000,30,1,1,1,TERRAZAS DE CAMPOHERMOSO,Manizales,apartaestudio,arriendo,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/arriendo-apartaestudio-armenia-fundadores-1-habitaciones-1-banos/20625-M6874965,20625-M6874965,"LAS PALMAS | Otros | Armenia $1.450.000 Apartaestudio en Arriendo, LAS PALMAS, Armenia",$1.450.000,37.4,1,1,,LAS PALMAS,Armenia,apartaestudio,arriendo,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/arriendo-apartaestudio-bogota-santa-barbara-oriental-1-habitaciones-1-banos/MC6980340,MC6980340,"SANTA BARBARA ORIENTAL Zona Urbana | Norte | Bogotá D.C. $1.800.000 Apartaestudio en Arriendo, SANTA BARBARA ORIENTAL Zona Urbana, Bogotá D.C.",$1.800.000,18,1,1,,SANTA BARBARA ORIENTAL Zona Urbana,Bogotá D.C.,apartaestudio,arriendo,2026-09-10T04:25:40+00:00
