url,id_inmueble,texto,precio_texto,area_m2,habitaciones,banos,parqueaderos,sector,ciudad,tipo_inmueble,operacion,fecha_extraccion
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-bogota-gran-granada-1-habitaciones-2-banos-1-garajes/293-M6790413,293-M6790413,"Destacado Gran Granada | Bogotá D.C. $264.000.000 Apartaestudio en Venta, Gran Granada, Bogotá D.C.",$264.000.000,32,1,2,1,Gran Granada,Bogotá D.C.,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-bogota-los-monjes-1-habitaciones-1-banos/20387-M6846760,20387-M6846760,"Destacado AVENIDA EL DORADO | Occidental | Bogotá D.C. Para estrenar $280.000.000 Apartaestudio en Venta, AVENIDA EL DORADO, Bogotá D.C.",$280.000.000,26,1,1,,AVENIDA EL DORADO,Bogotá D.C.,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-bogota-niza-norte-1-habitaciones-2-banos-2-garajes/16039-M6615575,16039-M6615575,"Destacado Niza | Noroccidente | Bogotá D.C. $790.000.000 Apartaestudio en Venta, Niza, Bogotá D.C.",$790.000.000,80,1,2,2,Niza,Bogotá D.C.,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-bogota-samper-1-habitaciones-1-banos/MC7030902,MC7030902,"SAMPER MENDOZA Centro Internacional | Centro | Bogotá D.C. $290.000.000 Apartaestudio en Venta, SAMPER MENDOZA Centro Internacional, Bogotá D.C.",$290.000.000,27,1,1,,SAMPER MENDOZA Centro Internacional,Bogotá D.C.,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-bogota-la-esperanza-norte-1-habitaciones-1-banos-1-garajes/23070-M7034586,23070-M7034586,"CIUDAD SALITRE | Otros | Bogotá D.C. $510.000.000 Apartaestudio en Venta, CIUDAD SALITRE, Bogotá D.C.",$510.000.000,45.5,1,1,1,CIUDAD SALITRE,Bogotá D.C.,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-bogota-chico-norte-et-iii-1-habitaciones-1-banos-1-garajes/23049-M6859791,23049-M6859791,"CHICO NORTE III | Norte | Bogotá D.C. $450.000.000 Apartaestudio en Venta, CHICO NORTE III, Bogotá D.C.",$450.000.000,32,1,1,1,CHICO NORTE III,Bogotá D.C.,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-medellin-simesa-1-habitaciones-1-banos-1-garajes/20487-M6406619,20487-M6406619,"CIUDAD DEL RIO | Suroriente | Medellín $499.000.000 Apartaestudio en Venta, CIUDAD DEL RIO, Medellín",$499.000.000,45,1,1,1,CIUDAD DEL RIO,Medellín,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-bogota-antiguo-country-1-habitaciones-1-banos/22188-M6880659,22188-M6880659,"ANTIGUO CONTRY | Norte | Bogotá D.C. $570.000.000 Apartaestudio en Venta, ANTIGUO CONTRY, Bogotá D.C.",$570.000.000,38,1,1,,ANTIGUO CONTRY,Bogotá D.C.,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-bogota-sucre-1-habitaciones-1-banos-1-garajes/22376-M6536497,22376-M6536497,"CHAPINERO | Chapinero | Bogotá D.C. $310.000.000 Apartaestudio en Venta, CHAPINERO, Bogotá D.C.",$310.000.000,1,1,1,1,CHAPINERO,Bogotá D.C.,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-bogota-santa-barbara-occidental-1-habitaciones-1-banos-1-garajes/21549-M6911225,21549-M6911225,"Destacado Santa Barbara | Norte | Bogotá D.C. $550.000.000 Apartaestudio en Venta, Santa Barbara, Bogotá D.C.",$550.000.000,40.07,1,1,1,Santa Barbara,Bogotá D.C.,apartaestudio,venta,2026-09-10T04:25:40+00:00
