url,texto,precio_texto,area_m2,habitaciones,banos,parqueaderos,tipo,sector,ciudad
https://www.metrocuadrado.com/inmueble/arriendo-oficina-bogota-santa-barbara-5-banos-4-garajes/2556-M6857420?src_url=%2Farriendo%2F%3Fsearch%3Dform,"Destacado Santa Barbara | Bogotá D.C. $25.000.000 Oficina en Arriendo, Santa Barbara, Bogotá D.C.",$25.000.000,492,,5,4,,Santa Barbara,Bogotá D.C. Foto de Oficina en Arriendo en Santa Barbara
https://www.metrocuadrado.com/inmueble/arriendo-oficina-bogota-chapinero-occidental-1-banos-2-garajes/2411-M7021305?src_url=%2Farriendo%2F%3Fsearch%3Dform,"Destacado Chapinero Occidental | Bogotá D.C. $2.000.000 Oficina en Arriendo, Chapinero Occidental, Bogotá D.C.",$2.000.000,66,,1,2,,Chapinero Occidental,Bogotá D.C. Foto de Oficina en Arriendo en Chapinero Occidental
https://www.metrocuadrado.com/inmueble/arriendo-apartamento-envigado-loma-de-las-brujas-2-habitaciones-5-banos/2895-M5248880?src_url=%2Farriendo%2F%3Fsearch%3Dform,"Destacado El Escobero | Envigado $7.000.000 Apartamento en Arriendo, El Escobero, Envigado",$7.000.000,93,2,5,,Apartamento en Arriendo,El Escobero,Envigado Foto de Apartamento en Arriendo en El Escobero
https://www.metrocuadrado.com/inmueble/arriendo-bodega-bogota-normandia-occidental-2-banos-2-garajes/MC6149015?src_url=%2Farriendo%2F%3Fsearch%3Dform,"NORMANDIA Zona Urbana | Occidental | Bogotá D.C. $7.000.000 Bodega en Arriendo, NORMANDIA Zona Urbana, Bogotá D.C.",$7.000.000,130,,2,2,,NORMANDIA Zona Urbana,Bogotá D.C. Foto de Bodega en Arriendo en NORMANDIA Zona Urbana
https://www.metrocuadrado.com/inmueble/arriendo-oficina-bogota-ciudad-salitre-nor-oriental-1-banos-2-garajes/MC6686011?src_url=%2Farriendo%2F%3Fsearch%3Dform,"CIUDAD SALITRE Zona Urbana | Occidental | Bogotá D.C. $4.700.000 Oficina en Arriendo, CIUDAD SALITRE Zona Urbana, Bogotá D.C.",$4.700.000,42,,1,2,,CIUDAD SALITRE Zona Urbana,Bogotá D.C. Foto de Oficina en Arriendo en CIUDAD SALITRE Zona Urbana
https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-palermo-1-habitaciones-1-banos/MC6794492?src_url=%2Farriendo%2F%3Fsearch%3Dform,"PALERMO La Soledad | Chapinero | Bogotá D.C. $1.900.000 Apartamento en Arriendo, PALERMO La Soledad, Bogotá D.C.",$1.900.000,36,1,1,,Apartamento en Arriendo,PALERMO La Soledad,Bogotá D.C. Foto de Apartamento en Arriendo en PALERMO La Soledad
https://www.metrocuadrado.com/inmueble/arriendo-apartaestudio-armenia-castellana-1-habitaciones-2-banos-1-garajes/17744-M6931077?src_url=%2Farriendo%2F%3Fsearch%3Dform,"Castellana | Armenia $1.800.000 Apartaestudio en Arriendo, Castellana, Armenia",$1.800.000,42,1,2,1,Apartaestudio en Arriendo,Castellana,Armenia Foto de Apartaestudio en Arriendo en Castellana
https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-ciudad-salitre-sur-oriental-1-habitaciones-1-banos/MC6301899?src_url=%2Farriendo%2F%3Fsearch%3Dform,"CIUDAD SALITRE Zona Urbana | Occidental | Bogotá D.C. $2.970.000 Apartamento en Arriendo, CIUDAD SALITRE Zona Urbana, Bogotá D.C.",$2.970.000,42,1,1,,Apartamento en Arriendo,CIUDAD SALITRE Zona Urbana,Bogotá D.C. Foto de Apartamento en Arriendo en CIUDAD SALITRE Zona Urbana
https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-ciudad-salitre-sur-oriental-2-habitaciones-2-banos-1-garajes/MC6905475?src_url=%2Farriendo%2F%3Fsearch%3Dform,"CIUDAD SALITRE Zona Urbana | Occidental | Bogotá D.C. $4.600.000 Apartamento en Arriendo, CIUDAD SALITRE Zona Urbana, Bogotá D.C.",$4.600.000,80,2,2,1,Apartamento en Arriendo,CIUDAD SALITRE Zona Urbana,Bogotá D.C. Foto de Apartamento en Arriendo en CIUDAD SALITRE Zona Urbana
https://www.metrocuadrado.com/inmueble/arriendo-oficina-bogota-cedritos/532-M6671470?src_url=%2Farriendo%2F%3Fsearch%3Dform,"Destacado Cedritos | Bogotá D.C. Disponible ahora $4.138.500 Oficina en Arriendo, Cedritos, Bogotá D.C.",$4.138.500,30,,,,,Cedritos,Bogotá D.C. Foto de Oficina en Arriendo en Cedritos
https://www.metrocuadrado.com/inmueble/arriendo-oficina-bogota-santa-barbara/532-M6671451?src_url=%2Farriendo%2F%3Fsearch%3Dform,"Destacado Santa Barbara | Bogotá D.C. Disponible ahora $4.647.000 Oficina en Arriendo, Santa Barbara, Bogotá D.C.",$4.647.000,30,,,,,Santa Barbara,Bogotá D.C. Foto de Oficina en Arriendo en Santa Barbara
https://www.metrocuadrado.com/inmueble/arriendo-oficina-bogota-el-chico/532-M6671367?src_url=%2Farriendo%2F%3Fsearch%3Dform,"Destacado El Chico | Bogotá D.C. Disponible ahora $3.209.000 Oficina en Arriendo, El Chico, Bogotá D.C.",$3.209.000,15,,,,,El Chico,Bogotá D.C. Foto de Oficina en Arriendo en El Chico
https://www.metrocuadrado.com/inmueble/arriendo-oficina-barranquilla-centro/532-M6671401?src_url=%2Farriendo%2F%3Fsearch%3Dform,"Destacado Centro | Barranquilla Disponible ahora $2.958.000 Oficina en Arriendo, Centro, Barranquilla",$2.958.000,15,,,,,Centro,Barranquilla Foto de Oficina en Arriendo en Centro
https://www.metrocuadrado.com/inmueble/arriendo-oficina-bogota-centro-internacional/532-M6671434?src_url=%2Farriendo%2F%3Fsearch%3Dform,"Destacado Centro Internacional | Bogotá D.C. Disponible ahora $2.299.000 Oficina en Arriendo, Centro Internacional, Bogotá D.C.",$2.299.000,30,,,,,Centro Internacional,Bogotá D.C. Foto de Oficina en Arriendo en Centro Internacional
https://www.metrocuadrado.com/inmueble/arriendo-oficina-barranquilla-country/532-M6671414?src_url=%2Farriendo%2F%3Fsearch%3Dform,"Destacado Country | Barranquilla Disponible ahora $2.919.000 Oficina en Arriendo, Country, Barranquilla",$2.919.000,15,,,,,Country,Barranquilla Foto de Oficina en Arriendo en Country
https://www.metrocuadrado.com/inmueble/arriendo-oficina-bogota-chico/532-M6671357?src_url=%2Farriendo%2F%3Fsearch%3Dform,"Destacado Chico | Bogotá D.C. Disponible ahora $5.499.000 Oficina en Arriendo, Chico, Bogotá D.C.",$5.499.000,30,,,,,Chico,Bogotá D.C. Foto de Oficina en Arriendo en Chico
https://www.metrocuadrado.com/inmueble/arriendo-oficina-bogota-chico/532-M6671452?src_url=%2Farriendo%2F%3Fsearch%3Dform,"Destacado Chico | Bogotá D.C. Disponible ahora $3.929.000 Oficina en Arriendo, Chico, Bogotá D.C.",$3.929.000,15,,,,,Chico,Bogotá D.C. Foto de Oficina en Arriendo en Chico
https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-ciudad-salitre-sur-oriental-2-habitaciones-2-banos/MC6301898?src_url=%2Farriendo%2F%3Fsearch%3Dform,"CIUDAD SALITRE Zona Urbana | Occidental | Bogotá D.C. $3.736.000 Apartamento en Arriendo, CIUDAD SALITRE Zona Urbana, Bogotá D.C.",$3.736.000,60,2,2,,Apartamento en Arriendo,CIUDAD SALITRE Zona Urbana,Bogotá D.C. Foto de Apartamento en Arriendo en CIUDAD SALITRE Zona Urbana
https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-cerros-de-santa-barbara-4-habitaciones-5-banos-3-garajes/17016-M6880159?src_url=%2Farriendo%2F%3Fsearch%3Dform,"USAQUEN | Norte | Bogotá D.C. $18.000.000 Apartamento en Arriendo, USAQUEN, Bogotá D.C.",$18.000.000,293,4,5,3,Apartamento en Arriendo,USAQUEN,Bogotá D.C. Foto de Apartamento en Arriendo en USAQUEN
https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-3-habitaciones-3-banos-1-garajes/22225-M6789186?src_url=%2Farriendo%2F%3Fsearch%3Dform,"CHICO NORTE | Norte | Bogotá D.C. $9.500.000 Apartamento en Arriendo, CHICO NORTE, Bogotá D.C.",$9.500.000,192,3,3,1,Apartamento en Arriendo,CHICO NORTE,Bogotá D.C. Foto de Apartamento en Arriendo en CHICO NORTE
https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-3-habitaciones-3-banos-2-garajes/800-M6133746?src_url=%2Farriendo%2F%3Fsearch%3Dform,"CHICO NORTE | Norte | Bogotá D.C. $12.000.000 Apartamento en Arriendo, CHICO NORTE, Bogotá D.C.",$12.000.000,150,3,3,2,Apartamento en Arriendo,CHICO NORTE,Bogotá D.C. Foto de Apartamento en Arriendo en CHICO NORTE
https://www.metrocuadrado.com/inmueble/arriendo-apartamento-chia-cr-santa-ana-de-chia-2-habitaciones-4-banos-3-garajes/11792-M6806555?src_url=%2Farriendo%2F%3Fsearch%3Dform,"CONDOMINIO SANTA ANA DE CHIA II | Chía $8.500.000 Apartamento en Arriendo, CONDOMINIO SANTA ANA DE CHIA II, Chía",$8.500.000,184,2,4,3,Apartamento en Arriendo,CONDOMINIO SANTA ANA DE CHIA II,Chía Foto de Apartamento en Arriendo en CONDOMINIO SANTA ANA DE CHIA II
https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-3-habitaciones-3-banos-2-garajes/800-M6133851?src_url=%2Farriendo%2F%3Fsearch%3Dform,"CHICO NORTE | Norte | Bogotá D.C. $11.500.000 Apartamento en Arriendo, CHICO NORTE, Bogotá D.C.",$11.500.000,150,3,3,2,Apartamento en Arriendo,CHICO NORTE,Bogotá D.C. Foto de Apartamento en Arriendo en CHICO NORTE
https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-ciudad-la-salle-2-habitaciones-2-banos-1-garajes/23284-M6966537?src_url=%2Farriendo%2F%3Fsearch%3Dform,"Ciudad La Salle | Bogotá D.C. $2.850.000 Apartamento en Arriendo, Ciudad La Salle, Bogotá D.C.",$2.850.000,59,2,2,1,Apartamento en Arriendo,Ciudad La Salle,Bogotá D.C. Foto de Apartamento en Arriendo en Ciudad La Salle
https://www.metrocuadrado.com/inmueble/arriendo-casa-zipaquira-4-habitaciones-5-banos-4-garajes/12573-M7068210?src_url=%2Farriendo%2F%3Fsearch%3Dform,"ENTRELOMAS | Otros | Zipaquira $7.000.000 Casa en Arriendo, ENTRELOMAS, Zipaquira",$7.000.000,320,4,5,4,Casa en Arriendo,ENTRELOMAS,Zipaquira Foto de Casa en Arriendo en ENTRELOMAS
https://www.metrocuadrado.com/inmueble/arriendo-apartaestudio-bogota-chico-norte-et-ii-1-habitaciones-1-banos/22377-M6628937?src_url=%2Farriendo%2F%3Fsearch%3Dform,"CHICO NORTE | Norte | Bogotá D.C. Disponible ahora $3.000.000 Apartaestudio en Arriendo, CHICO NORTE, Bogotá D.C.",$3.000.000,30,1,1,,Apartaestudio en Arriendo,CHICO NORTE,Bogotá D.C. Foto de Apartaestudio en Arriendo en CHICO NORTE
https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-3-habitaciones-4-banos-2-garajes/800-M5704562?src_url=%2Farriendo%2F%3Fsearch%3Dform,"CHICO VIRREY | Norte | Bogotá D.C. $10.000.000 Apartamento en Arriendo, CHICO VIRREY, Bogotá D.C.",$10.000.000,177,3,4,2,Apartamento en Arriendo,CHICO VIRREY,Bogotá D.C. Foto de Apartamento en Arriendo en CHICO VIRREY
https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-et-ii-3-habitaciones-4-banos-2-garajes/800-M6092681?src_url=%2Farriendo%2F%3Fsearch%3Dform,"CHICO NORTE II | Norte | Bogotá D.C. $14.300.000 Apartamento en Arriendo, CHICO NORTE II, Bogotá D.C.",$14.300.000,160,3,4,2,Apartamento en Arriendo,CHICO NORTE II,Bogotá D.C. Foto de Apartamento en Arriendo en CHICO NORTE II
https://www.metrocuadrado.com/inmueble/arriendo-apartamento-cali-bellavista-4-habitaciones-5-banos-2-garajes/16856-M6969238?src_url=%2Farriendo%2F%3Fsearch%3Dform,"SANTA TERESITA | Oeste | Cali $11.000.000 Apartamento en Arriendo, SANTA TERESITA, Cali",$11.000.000,200,4,5,2,Apartamento en Arriendo,SANTA TERESITA,Cali Foto de Apartamento en Arriendo en SANTA TERESITA
https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-et-ii-3-habitaciones-4-banos-2-garajes/800-M6882819?src_url=%2Farriendo%2F%3Fsearch%3Dform,"CHICO NORTE | Otros | Bogotá D.C. $16.000.000 Apartamento en Arriendo, CHICO NORTE, Bogotá D.C.",$16.000.000,176,3,4,2,Apartamento en Arriendo,CHICO NORTE,Bogotá D.C. Foto de Apartamento en Arriendo en CHICO NORTE
https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-la-cabrera-3-habitaciones-5-banos-3-garajes/800-M5703183?src_url=%2Farriendo%2F%3Fsearch%3Dform,"LA CABRERA | Norte | Bogotá D.C. $22.000.000 Apartamento en Arriendo, LA CABRERA, Bogotá D.C.",$22.000.000,280,3,5,3,Apartamento en Arriendo,LA CABRERA,Bogotá D.C. Foto de Apartamento en Arriendo en LA CABRERA
https://www.metrocuadrado.com/inmueble/arriendo-casa-cota-incluye-siberia-4-habitaciones-4-banos-3-garajes/21895-M6892594?src_url=%2Farriendo%2F%3Fsearch%3Dform,"Otros | Cota (Incluye Siberia) $6.800.000 Casa en Arriendo, Cota (Incluye Siberia)",$6.800.000,160,4,4,3,Casa en Arriendo,Cota (Incluye Siberia) Foto de Casa en Arriendo en Cota (Incluye Siberia) con 4 habitaciones,4 baños
